District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
1901,Corvallis SD 509J,28,Cheldelin Middle School,Darren Bland,Grade(s) 6-8,M,Benton,583,10%,14,9%,30%,95%,25,10,1,16%,Yes,30,Increase,2,25,86%,Increase,6%,80%,High,72%,Decrease,4%,56%,63%,Decrease,4%,41%,79%,Decrease,3%,61%,,,,,,,,,,,,
1901,Corvallis SD 509J,40,Corvallis High School,Matt Boring,Grade(s) 9-12,H,Benton,1234,15%,26,11%,31%,95%,53,23,4,11%,No,25,No Change,,25,62%,Decrease,6%,80%,,,,,,,,,,,,,,91%,Decrease,>4%,85%,86%,Decrease,1%,77%,92%,Decrease,4%,83%
1901,Corvallis SD 509J,41,Crescent Valley High School,Aaron McKee,Grade(s) 9-12,H,Benton,956,7%,19,8%,21%,94%,40,9,2,8%,Yes,26,Decrease,2,25,72%,Decrease,1%,80%,,,,,,,,,,,,,,93%,Increase,6%,85%,87%,Increase,5%,77%,94%,Increase,3%,83%
1901,Corvallis SD 509J,1322,Franklin School,Craig Harlow,Grade(s) K-8,E,Benton,333,10%,15,12%,18%,92%,16,6,1,16%,Yes,28,No Change,,25,92%,Increase,3%,80%,High,77%,Increase,1%,54%,71%,Decrease,2%,42%,79%,Decrease,5%,64%,,,,,,,,,,,,
1901,Corvallis SD 509J,30,Garfield Elementary School,Leigh Santy,Grade(s) K-5,E,Benton,440,41%,11,8%,60%,96%,27,13,1,14%,No,24,No Change,,25,87%,Decrease,1%,80%,Average,42%,Increase,1%,51%,45%,Increase,8%,44%,35%,Increase,10%,65%,,,,,,,,,,,,
1901,Corvallis SD 509J,33,Hoover Elementary School,Anna Marie Gosser,Grade(s) K-5,E,Benton,437,14%,22,6%,19%,96%,21,5,0,24%,No,26,No Change,,25,91%,No Change,,80%,High,76%,Increase,2%,51%,78%,Increase,2%,44%,82%,Increase,2%,65%,,,,,,,,,,,,
1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School,Bryan Traylor,Grade(s) K-5,E,Benton,109,*,3,*,*,77%,8,4,0,20%,Yes,23,Increase,1,25,87%,Increase,5%,80%,High,70%,Increase,11%,51%,66%,Increase,5%,44%,91%,Decrease,>4%,65%,,,,,,,,,,,,
1901,Corvallis SD 509J,35,Jefferson Elementary School,Melissa Harder,Grade(s) K-5,E,Benton,345,5%,13,17%,23%,94%,20,12,0,13%,No,26,Increase,2,25,87%,Decrease,5%,80%,Average,65%,Decrease,5%,51%,61%,Decrease,4%,44%,66%,Decrease,9%,65%,,,,,,,,,,,,
1901,Corvallis SD 509J,36,Lincoln Elementary School,Aaron Hale,Grade(s) K-5,E,Benton,379,22%,6,10%,53%,94%,25,8,0,18%,No,23.5,Increase,3,25,86%,Decrease,2%,80%,Average,42%,Decrease,2%,51%,37%,Decrease,4%,44%,52%,Decrease,6%,65%,,,,,,,,,,,,
1901,Corvallis SD 509J,38,Linus Pauling Middle School,Alicia Ward Satey,Grade(s) 6-8,M,Benton,720,21%,15,14%,43%,93%,38,18,1,18%,No,25,Decrease,1,25,78%,Decrease,2%,80%,Average,54%,Decrease,2%,56%,46%,Decrease,4%,41%,73%,Increase,3%,61%,,,,,,,,,,,,
1901,Corvallis SD 509J,37,Mt View Elementary School,Byron Bethards,Grade(s) K-5,E,Benton,322,<5%,8,9%,36%,93%,18,8,0,22%,No,24,Increase,1,25,83%,Increase,1%,80%,Average,57%,Increase,5%,51%,46%,Increase,2%,44%,69%,Increase,6%,65%,,,,,,,,,,,,
1901,Corvallis SD 509J,39,Wilson Elementary School,Eric Beasley,Grade(s) K-5,E,Benton,430,13%,18,11%,50%,96%,23,7,1,24%,No,24,Decrease,1,25,79%,Decrease,3%,80%,Average,53%,Increase,1%,51%,50%,Increase,3%,44%,67%,Decrease,2%,65%,,,,,,,,,,,,
2216,Cove SD 15,3434,Cove Charter School,Mat Miles,Grade(s) K-12,H,Union,274,*,1,*,28%,96%,20,3,0,12%,No,17,Decrease,4,25,87%,Increase,1%,80%,,,,,,,,,,,,,,>95%,Increase,>12%,85%,89%,Decrease,2%,77%,91%,No Change,,83%
2086,Creswell SD 40,570,Creslane Elementary School,Ryan Beck,Grade(s) K-5,E,Lane,587,5%,2,16%,54%,94%,29,11,1,13%,No,25,Decrease,1,25,80%,Increase,2%,80%,High,56%,Increase,2%,51%,50%,Increase,2%,44%,69%,Decrease,13%,65%,,,,,,,,,,,,
2086,Creswell SD 40,572,Creswell High School,Adam Watkins,Grade(s) 9-12,H,Lane,335,7%,2,21%,47%,96%,18,5,0,10%,Yes,24,No Change,,25,82%,Increase,1%,80%,,,,,,,,,,,,,,88%,Decrease,1%,85%,78%,Increase,2%,77%,85%,Decrease,4%,83%
2086,Creswell SD 40,571,Creswell Middle School,Shirley Burrus,Grade(s) 6-8,M,Lane,287,6%,3,17%,49%,99%,13,4,1,6%,No,25,No Change,,25,88%,Decrease,1%,80%,Average,56%,Increase,4%,56%,44%,Increase,4%,41%,69%,Increase,11%,61%,,,,,,,,,,,,
1970,Crook County SD,5302,Barnes Butte Elementary,Jim Bates,Grade(s) K-5,E,Crook,626,16%,3,12%,68%,96%,33,13,1,10%,No,25.5,Decrease,1,25,88%,Increase,2%,80%,Average,49%,Increase,2%,51%,38%,Increase,4%,44%,61%,Decrease,6%,65%,,,,,,,,,,,,
1970,Crook County SD,265,Brothers Elementary School,Mona Boyd,Grade(s) K-8,E,Deschutes,11,*,1,*,*,67%,2,0,0,13%,No,11,Increase,4,25,*,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
1970,Crook County SD,225,Crook County High School,Michelle Jonas,Grade(s) 9-12,H,Crook,693,10%,5,15%,52%,97%,41,8,2,13%,No,22,Decrease,1,25,79%,Decrease,3%,80%,,,,,,,,,,,,,,88%,No Change,,85%,90%,No Change,,77%,94%,Increase,2%,83%
1970,Crook County SD,224,Crook County Middle School,Kurt Sloper,Grade(s) 6-8,M,Crook,607,11%,4,15%,61%,95%,34,8,1,19%,No,25,Increase,1,25,85%,Decrease,2%,80%,High,58%,Increase,2%,56%,38%,Increase,2%,41%,72%,Increase,7%,61%,,,,,,,,,,,,
1970,Crook County SD,219,Crooked River Elementary School,Cheri Rasmussen,Grade(s) K-5,E,Crook,594,<5%,4,13%,68%,96%,30,17,0,21%,No,24,No Change,,25,85%,Increase,5%,80%,Average,52%,Increase,2%,51%,45%,Decrease,2%,44%,77%,Increase,8%,65%,,,,,,,,,,,,
1970,Crook County SD,222,Paulina School,Cheri Rasmussen,Grade(s) K-8,E,Crook,20,*,2,*,>95%,85%,3,2,0,17%,No,10.5,Increase,1,25,>95%,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
1970,Crook County SD,4392,Pioneer Secondary Alternative High School,Michelle Jonas,Grade(s) 9-12,H,Crook,60,*,2,32%,>95%,95%,3,5,0,15%,No,13,Decrease,4,25,24%,Increase,3%,80%,,,,,,,,,,,,,,*,No Change,,85%,30%,Decrease,5%,77%,57%,Increase,1%,83%
1970,Crook County SD,223,Powell Butte Community Charter School,Jennifer Berry-O'Shea,Grade(s) K-8,E,Crook,198,*,3,13%,35%,93%,13,6,0,40%,Yes,22,Increase,1,25,84%,Decrease,3%,80%,High,68%,Increase,7%,54%,45%,Increase,12%,42%,87%,Decrease,1%,64%,,,,,,,,,,,,
2089,Crow-Applegate-Lorane SD 66,589,Applegate Elementary School,Aaron Brown,Grade(s) K-6,E,Lane,117,*,2,10%,10%,97%,9,2,0,4%,No,18,Increase,2,25,83%,No Change,,80%,Average,51%,Increase,17%,52%,37%,Increase,6%,43%,58%,Increase,6%,65%,,,,,,,,,,,,
2089,Crow-Applegate-Lorane SD 66,592,Crow Middle/High School,Marci Haro,Grade(s) 7-12,H,Lane,112,*,1,23%,11%,92%,13,1,0,23%,Yes,14,Decrease,1,25,70%,Increase,2%,80%,,,,,,,,,,,,,,85%,Increase,1%,85%,85%,No Change,,77%,85%,Decrease,5%,83%
2050,Culver SD 4,425,Culver Elementary School,Stefanie Garber,Grade(s) K-5,E,Jefferson,301,23%,2,15%,67%,94%,16,6,1,7%,No,26,No Change,,25,81%,Decrease,3%,80%,Average,53%,Increase,3%,51%,46%,Increase,1%,44%,81%,Increase,10%,65%,,,,,,,,,,,,
2050,Culver SD 4,426,Culver High School,Brad Kudlac,Grade(s) 9-12,H,Jefferson,193,19%,2,15%,53%,97%,15,1,1,13%,Yes,15,No Change,,25,82%,Decrease,1%,80%,,,,,,,,,,,,,,82%,Decrease,8%,85%,84%,Increase,10%,77%,84%,Decrease,7%,83%
2050,Culver SD 4,1295,Culver Middle School,Brad Kudlac,Grade(s) 6-8,M,Jefferson,168,14%,2,15%,60%,97%,9,4,1,21%,No,26,Decrease,1,25,79%,Decrease,5%,80%,High,58%,Decrease,5%,56%,36%,Decrease,6%,41%,58%,Decrease,16%,61%,,,,,,,,,,,,
2190,Dallas SD 2,5298,Dallas Community Charter,Bill Conlon,Grade(s) K-8,E,Polk,195,*,1,*,*,42%,6,2,0,18%,Yes,33,Decrease,1,25,>95%,No Change,,80%,High,34%,No Change,,54%,12%,Decrease,7%,42%,50%,Decrease,24%,64%,,,,,,,,,,,,
2190,Dallas SD 2,995,Dallas High School,Steve Spencer,Grade(s) 9-12,H,Polk,847,<5%,8,17%,30%,96%,46,18,2,14%,No,24,Decrease,1,25,88%,Decrease,>7%,80%,,,,,,,,,,,,,,80%,Increase,10%,85%,76%,Increase,1%,77%,84%,Decrease,4%,83%
2190,Dallas SD 2,994,LaCreole Middle School,Jamie Richardson,Grade(s) 6-8,M,Polk,642,<5%,4,19%,38%,95%,35,19,1,9%,No,25,Decrease,1,25,75%,No Change,,80%,Average,48%,Decrease,4%,56%,42%,No Change,,41%,52%,Decrease,7%,61%,,,,,,,,,,,,
2190,Dallas SD 2,3461,Luckiamute Valley Charter School,Christy Wilkins,Grade(s) K-8,E,Polk,183,*,3,11%,40%,86%,13,9,0,29%,Yes,18,Decrease,1,25,75%,Decrease,>20%,80%,Average,45%,Increase,6%,54%,28%,Increase,10%,42%,62%,Decrease,22%,64%,,,,,,,,,,,,
2190,Dallas SD 2,989,Lyle Elementary School,Amber Eaton,Grade(s) K-3,E,Polk,418,5%,4,15%,39%,96%,22,20,0,13%,No,25,Decrease,1,25,81%,Decrease,>14%,80%,*,46%,Decrease,5%,48%,53%,Decrease,4%,47%,*,No Change,,,,,,,,,,,,,,
2190,Dallas SD 2,990,Oakdale Heights Elementary School,Todd Baughman,Grade(s) K-3,E,Polk,364,<5%,2,12%,34%,92%,18,17,0,12%,Yes,25,Decrease,3,25,85%,Decrease,>10%,80%,*,46%,Decrease,5%,48%,51%,Decrease,17%,47%,*,No Change,,,,,,,,,,,,,,
2190,Dallas SD 2,993,Whitworth Elementary School,Caleb Harris,Grade(s) 4-5,E,Polk,438,<5%,3,17%,44%,96%,21,16,0,15%,Yes,27.5,Decrease,2,25,83%,Decrease,2%,80%,Average,52%,No Change,,53%,38%,Decrease,7%,42%,79%,Increase,3%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,980,Alice Ott Middle School,Duane Larson,Grade(s) 6-8,M,Multnomah,707,45%,25,8%,68%,94%,38,7,2,8%,Yes,26,No Change,,25,84%,Decrease,9%,80%,High,57%,Decrease,5%,56%,46%,Decrease,8%,41%,64%,Decrease,8%,61%,,,,,,,,,,,,
2187,David Douglas SD 40,3580,Arthur Academy,John Luebke,Grade(s) K-5,E,Multnomah,161,16%,11,*,35%,92%,8,0,0,43%,No,28,Increase,1,25,93%,Decrease,2%,80%,High,75%,Decrease,2%,51%,52%,Decrease,7%,44%,86%,Decrease,3%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,972,Cherry Park Elementary School,Kate Barker,Grade(s) K-5,E,Multnomah,478,28%,26,13%,72%,93%,26,15,1,16%,No,26,Increase,2,25,87%,Decrease,1%,80%,Average,62%,Increase,6%,51%,57%,Increase,8%,44%,61%,Decrease,1%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,983,David Douglas High School,John Bier,Grade(s) 9-12,H,Multnomah,2913,51%,45,9%,72%,95%,151,24,9,9%,No,26,No Change,,25,70%,Decrease,2%,80%,,,,,,,,,,,,,,86%,No Change,,85%,73%,Decrease,4%,77%,85%,Increase,1%,83%
2187,David Douglas SD 40,3525,Earl Boyles Elementary,Ericka Guynes,Grade(s) K-5,E,Multnomah,462,31%,15,14%,75%,93%,25,15,1,17%,No,24,Decrease,3,25,90%,Increase,4%,80%,Average,49%,Increase,11%,51%,37%,Increase,7%,44%,68%,Increase,9%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,981,Floyd Light Middle School,Doug Pease,Grade(s) 6-8,M,Multnomah,799,43%,33,11%,72%,93%,44,11,2,8%,No,27,Decrease,1,25,80%,Increase,2%,80%,Average,48%,Increase,3%,56%,34%,Decrease,2%,41%,46%,Increase,1%,61%,,,,,,,,,,,,
2187,David Douglas SD 40,973,Gilbert Heights Elementary School,Shane Bassett,Grade(s) K-5,E,Multnomah,618,45%,25,7%,77%,92%,27,15,1,13%,No,26,No Change,,25,80%,Decrease,4%,80%,Average,45%,Increase,4%,51%,32%,Increase,5%,44%,44%,Increase,12%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,974,Gilbert Park Elementary School,Stacie Moncrief,Grade(s) K-5,E,Multnomah,609,38%,24,9%,70%,89%,28,15,1,18%,No,25,Decrease,1,25,83%,Decrease,3%,80%,High,40%,Decrease,7%,51%,28%,No Change,,44%,36%,Decrease,9%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,975,Lincoln Park Elementary School,Ceci De Valdenebro,Grade(s) K-5,E,Multnomah,612,51%,22,10%,>95%,93%,29,13,1,16%,Yes,25,Decrease,2,25,82%,Decrease,3%,80%,Average,37%,Decrease,7%,51%,24%,Decrease,9%,44%,44%,Decrease,1%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,976,Menlo Park Elementary School,Kellie Burkhardt,Grade(s) K-5,E,Multnomah,455,32%,23,10%,73%,96%,25,18,1,21%,No,25,No Change,,25,82%,Increase,1%,80%,Average,40%,Decrease,3%,51%,28%,Decrease,2%,44%,54%,Decrease,6%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,977,Mill Park Elementary School,Bob Stelle,Grade(s) K-5,E,Multnomah,477,57%,28,10%,>95%,93%,27,16,1,17%,No,25,No Change,,25,83%,Increase,1%,80%,High,24%,No Change,,51%,17%,Increase,2%,44%,36%,Increase,7%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,4232,Ron Russell Middle School,Thu Truong,Grade(s) 6-8,M,Multnomah,807,50%,33,12%,83%,94%,47,16,2,16%,Yes,26,Increase,2,25,81%,Decrease,1%,80%,High,53%,Decrease,1%,56%,42%,Decrease,2%,41%,59%,Increase,1%,61%,,,,,,,,,,,,
2187,David Douglas SD 40,978,Ventura Park Elementary School,Holly Schauer,Grade(s) K-5,E,Multnomah,417,38%,21,11%,71%,91%,25,18,1,16%,Yes,22,Decrease,1,25,84%,Decrease,1%,80%,Low,36%,Decrease,7%,51%,25%,Increase,1%,44%,47%,Increase,8%,65%,,,,,,,,,,,,
2187,David Douglas SD 40,979,West Powellhurst Elementary School,Susan Olds,Grade(s) K-5,E,Multnomah,422,45%,23,10%,84%,92%,21,12,1,21%,No,26,No Change,,25,86%,Decrease,1%,80%,Average,35%,Decrease,7%,51%,22%,Decrease,2%,44%,32%,Increase,2%,65%,,,,,,,,,,,,
2253,Dayton SD 8,1211,Dayton Grade School,Stephanie Ewing,Grade(s) K-5,E,Yamhill,436,24%,2,14%,>95%,96%,20,9,1,12%,No,26,Decrease,1,25,80%,Decrease,9%,80%,Average,44%,Increase,7%,51%,33%,Decrease,9%,44%,49%,Decrease,11%,65%,,,,,,,,,,,,
2253,Dayton SD 8,1212,Dayton High School,Jami Fluke,Grade(s) 9-12,H,Yamhill,329,23%,3,15%,>95%,96%,17,4,1,13%,No,18,No Change,,25,61%,No Change,,80%,,,,,,,,,,,,,,80%,Decrease,9%,85%,90%,No Change,,77%,92%,Increase,3%,83%
2253,Dayton SD 8,1291,Dayton Jr High School,Jami Fluke,Grade(s) 6-8,M,Yamhill,239,12%,2,12%,>95%,95%,13,6,1,16%,No,23,Increase,3,25,73%,Decrease,8%,80%,Average,45%,Increase,8%,56%,27%,Increase,1%,41%,30%,Decrease,1%,61%,,,,,,,,,,,,
2011,Dayville SD 16J,3353,Dayville School,Kathryn Hedrick,Grade(s) K-12,H,Grant,48,*,3,*,67%,83%,6,2,0,16%,No,7,No Change,,25,83%,Increase,6%,80%,,,,,,,,,,,,,,*,No Change,,85%,100%,Increase,33%,77%,100%,No Change,,83%
2017,Diamond SD 7,348,Diamond Elementary School,Rae-Jean Neumann,Grade(s) K-8,E,Harney,8,*,1,*,*,*,2,0,0,0%,No,4,No Change,,25,*,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
2021,Double O SD 28,352,Double O Elementary School,Karla Neuschwander,Grade(s) K-8,E,Harney,3,*,1,*,*,*,1,0,0,0%,No,3,No Change,,25,*,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
1993,Douglas County SD 15,3348,Days Creek Charter School,Steve Woods,Grade(s) K-12,H,Douglas,191,*,3,13%,67%,91%,13,5,0,11%,No,16,No Change,,25,77%,Increase,7%,80%,,,,,,,,,,,,,,77%,Decrease,16%,85%,92%,Increase,24%,77%,74%,Decrease,13%,83%
1991,Douglas County SD 4,269,Eastwood Elementary School,Jennifer Thompson,Grade(s) K-5,E,Douglas,425,<5%,5,11%,69%,96%,22,9,1,25%,No,24.5,No Change,,25,81%,Decrease,2%,80%,Average,45%,Increase,6%,51%,38%,Increase,12%,44%,57%,Increase,8%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,270,Fir Grove Elementary School,Lisa Dickover,Grade(s) K-5,E,Douglas,317,<5%,7,20%,74%,92%,17,14,1,17%,No,24,No Change,,25,81%,Increase,2%,80%,Low,44%,Decrease,8%,51%,45%,Increase,4%,44%,58%,Decrease,9%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,271,Fullerton IV Elementary School,Katrina Hanson,Grade(s) K-5,E,Douglas,370,5%,6,17%,64%,92%,21,9,1,20%,No,23,No Change,,25,89%,Increase,2%,80%,Average,52%,Increase,10%,51%,35%,Decrease,1%,44%,70%,Decrease,4%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,272,Green Elementary School,Amy Rodriguez,Grade(s) K-5,E,Douglas,251,*,3,13%,68%,96%,15,6,1,21%,Yes,20.5,No Change,,25,90%,Increase,2%,80%,High,34%,Increase,1%,51%,28%,Increase,1%,44%,65%,Decrease,6%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,273,Hucrest Elementary School,Doug Freeman,Grade(s) K-5,E,Douglas,436,*,8,6%,37%,92%,21,5,1,21%,No,24,No Change,,25,88%,Increase,2%,80%,Average,63%,Increase,6%,51%,51%,Decrease,2%,44%,70%,Decrease,8%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,278,John C Fremont Middle School,Ben Bentea,Grade(s) 6-8,M,Douglas,692,<5%,8,12%,53%,93%,34,13,2,15%,No,25,Decrease,1,25,79%,Increase,2%,80%,High,51%,No Change,,56%,43%,Decrease,1%,41%,71%,Increase,3%,61%,,,,,,,,,,,,
1991,Douglas County SD 4,279,Joseph Lane Middle School,Nicki Opp,Grade(s) 6-8,M,Douglas,614,<5%,6,11%,53%,95%,34,9,2,7%,No,26,Increase,2,25,76%,Decrease,4%,80%,Average,57%,Increase,5%,56%,36%,Decrease,3%,41%,60%,Increase,5%,61%,,,,,,,,,,,,
1991,Douglas County SD 4,274,Melrose Elementary School,Tammy Rasmussen,Grade(s) K-5,E,Douglas,347,*,7,16%,35%,89%,16,9,1,17%,Yes,25,No Change,,25,87%,Decrease,2%,80%,High,57%,Increase,11%,51%,51%,Increase,7%,44%,71%,Decrease,11%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,4391,Phoenix School,Brandy Osborn,Grade(s) 8-12,H,Douglas,171,*,2,20%,71%,98%,13,0,2,27%,No,15.5,Increase,2,25,37%,Decrease,1%,80%,,,,,,,,,,,,,,50%,Decrease,9%,85%,11%,Decrease,6%,77%,38%,Increase,2%,83%
1991,Douglas County SD 4,5398,Rose School,Randal Olsen,Grade(s) 9-12,H,Douglas,37,*,1,*,59%,93%,3,1,0,-1,No,9,New School,,25,25%,New School,,80%,,,,,,,,,,,,,,9%,New School,,85%,*,No Change,,,*,No Change,,
1991,Douglas County SD 4,280,Roseburg High School,Jill Weber,Grade(s) 9-12,H,Douglas,1450,<5%,19,11%,39%,95%,71,19,5,12%,No,25,Increase,2,25,74%,Decrease,1%,80%,,,,,,,,,,,,,,85%,Increase,5%,85%,77%,No Change,,77%,85%,Increase,1%,83%
1991,Douglas County SD 4,276,Sunnyslope Elementary School,Don Schrader,Grade(s) K-5,E,Douglas,281,*,2,17%,78%,96%,18,10,1,26%,No,21.5,Increase,1,25,80%,Decrease,3%,80%,Average,45%,Increase,8%,51%,33%,Increase,6%,44%,52%,Decrease,11%,65%,,,,,,,,,,,,
1991,Douglas County SD 4,277,Winchester Elementary,Rick Snyder,Grade(s) K-5,E,Douglas,352,*,3,9%,68%,95%,19,7,1,31%,No,22,No Change,,25,81%,Increase,2%,80%,Low,40%,Increase,1%,51%,23%,Decrease,3%,44%,56%,Decrease,4%,65%,,,,,,,,,,,,
2019,Drewsey SD 13,350,Drewsey Elementary School,Jodi Miller,Grade(s) K-8,E,Harney,8,*,1,*,*,*,1,1,0,33%,Yes,8,Decrease,1,25,*,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
2229,Dufur SD 29,3402,Dufur School,A Baptiste,Grade(s) K-12,H,Wasco,306,*,4,14%,>95%,97%,20,10,1,11%,No,20,No Change,,25,78%,No Change,,80%,,,,,,,,,,,,,,86%,Increase,9%,85%,96%,Increase,6%,77%,90%,No Change,,83%
2043,Eagle Point SD 9,5251,Crater Lake Charter Academy,Bryan Wood,Grade(s) K-12,H,Jackson,273,*,3,12%,50%,81%,7,12,0,51%,No,21,Decrease,3,25,>95%,No Change,,80%,,,,,,,,,,,,,,94%,Decrease,1%,85%,73%,Increase,16%,77%,62%,Increase,24%,83%
2043,Eagle Point SD 9,397,Eagle Point High School,Andy Kovach,Grade(s) 9-12,H,Jackson,1025,20%,8,11%,60%,94%,49,17,2,20%,Yes,26,Increase,1,25,79%,Decrease,2%,80%,,,,,,,,,,,,,,80%,Increase,3%,85%,79%,Decrease,6%,77%,90%,Increase,4%,83%
2043,Eagle Point SD 9,396,Eagle Point Middle School,Heather Marinucci,Grade(s) 6-8,M,Jackson,446,<5%,7,11%,51%,96%,19,5,0,27%,Yes,29,Increase,1,25,83%,Decrease,4%,80%,High,56%,Increase,6%,56%,39%,Increase,4%,41%,71%,Decrease,2%,61%,,,,,,,,,,,,
2043,Eagle Point SD 9,4020,Eagle Rock Elementary School,Joni Parsons,Grade(s) K-5,E,Jackson,317,*,4,9%,52%,91%,15,13,0,22%,Yes,27,No Change,,25,89%,Increase,4%,80%,Average,48%,Increase,9%,51%,40%,Increase,5%,44%,74%,Increase,3%,65%,,,,,,,,,,,,
2043,Eagle Point SD 9,390,Hillside Elementary,Jodi Salinas,Grade(s) K-5,E,Jackson,494,<5%,4,13%,61%,90%,24,16,0,29%,No,24,Decrease,2,25,86%,Decrease,3%,80%,Average,43%,Increase,2%,51%,31%,Decrease,4%,44%,46%,Decrease,21%,65%,,,,,,,,,,,,
2043,Eagle Point SD 9,3147,Lake Creek Learning Center,Joni Parsons,Grade(s) K-5,E,Jackson,55,*,3,*,40%,85%,3,3,0,11%,Yes,18,Decrease,2,25,86%,Decrease,9%,80%,Average,73%,Decrease,11%,51%,55%,Decrease,17%,44%,*,No Change,,65%,,,,,,,,,,,,
2043,Eagle Point SD 9,393,Shady Cove School,Amy Isackson,Grade(s) K-8,E,Jackson,275,*,6,13%,>95%,90%,13,6,0,23%,No,21,No Change,,25,85%,Decrease,3%,80%,Average,37%,Decrease,7%,54%,22%,Decrease,4%,42%,55%,Decrease,2%,64%,,,,,,,,,,,,
2043,Eagle Point SD 9,394,Table Rock Elementary,Valerie Shehorn,Grade(s) K-5,E,Jackson,758,35%,8,11%,>95%,96%,36,20,0,35%,Yes,25,Increase,2,25,85%,Decrease,2%,80%,Low,29%,Increase,1%,51%,20%,Decrease,1%,44%,61%,Increase,8%,65%,,,,,,,,,,,,
2043,Eagle Point SD 9,4378,URCEO-Upper Rogue Center for Educational Opportunities,Andy Kovach,Grade(s) 9-12,H,Jackson,56,*,2,18%,84%,91%,3,0,0,53%,No,6,Decrease,2,25,54%,Increase,15%,80%,,,,,,,,,,,,,,*,No Change,,85%,0%,No Change,,77%,49%,No Change,,83%
2043,Eagle Point SD 9,4021,White Mountain Middle School,Karina Rizo,Grade(s) 6-8,M,Jackson,337,40%,5,15%,>95%,95%,19,10,0,21%,No,24,Decrease,3,25,91%,Increase,2%,80%,High,46%,Increase,5%,56%,22%,Increase,7%,41%,48%,Increase,6%,61%,,,,,,,,,,,,
2203,Echo SD 5,3433,Echo School,Raymon Smith,Grade(s) K-12,H,Umatilla,301,*,2,18%,48%,88%,19,8,1,12%,No,14,Decrease,3,25,86%,Increase,1%,80%,,,,,,,,,,,,,,>95%,No Change,,85%,81%,Decrease,4%,77%,88%,Decrease,12%,83%
2217,Elgin SD 23,1083,Elgin High School,Rob Shell,Grade(s) 7-12,H,Union,161,*,2,15%,68%,94%,12,2,0,36%,Yes,13,Increase,1,25,79%,Decrease,2%,80%,,,,,,,,,,,,,,78%,Increase,6%,85%,94%,Increase,17%,77%,92%,Increase,4%,83%
2217,Elgin SD 23,1082,Stella Mayfield Elementary School,Dianne Greif,Grade(s) K-6,E,Union,226,*,1,14%,57%,94%,14,3,0,13%,Yes,21,Increase,2,25,71%,Decrease,8%,80%,High,45%,Decrease,2%,52%,45%,Increase,9%,43%,66%,Decrease,12%,65%,,,,,,,,,,,,
1998,Elkton SD 34,302,Elkton Charter School,Mike Hughes,Grade(s) K-12,H,Douglas,249,*,2,12%,61%,93%,17,3,0,14%,No,17.5,Increase,3,25,73%,Decrease,10%,80%,,,,,,,,,,,,,,>95%,Increase,>7%,85%,83%,Increase,7%,77%,80%,Decrease,11%,83%
2221,Enterprise SD 21,1090,Enterprise Elementary School,Erika  Pinkerton,Grade(s) K-6,E,Wallowa,215,*,1,18%,46%,94%,15,8,0,11%,Yes,20,No Change,,25,89%,Increase,11%,80%,High,58%,Increase,3%,52%,46%,Increase,3%,43%,86%,Decrease,5%,65%,,,,,,,,,,,,
